Filebench Version 1.5-alpha3
0.000: Allocated 2457MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.002: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.002: Removing logfiles tree (if exists)
0.003: Pre-allocating directories in logfiles tree
0.006: Pre-allocating files in logfiles tree
0.009: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.009: Removing bigfileset tree (if exists)
0.010: Pre-allocating directories in bigfileset tree
0.033: Pre-allocating files in bigfileset tree
0.398: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.398: Population and pre-allocation of filesets completed
0.398: Starting 1 filereader instances
1.405: Running...
61.411: Run took 60 seconds...
61.450: Per-Operation Breakdown
appendlog            528564ops     8809ops/s  68.8mb/s    0.090ms/op [0.001ms - 255.199ms]
closefile10          528467ops     8807ops/s   0.0mb/s    0.743ms/op [0.019ms - 12.139ms]
readfile10           528467ops     8807ops/s 128.7mb/s    0.003ms/op [0.001ms - 2.593ms]
openfile10           528470ops     8807ops/s   0.0mb/s    0.380ms/op [0.027ms - 45.814ms]
closefile9           528473ops     8807ops/s   0.0mb/s    0.742ms/op [0.056ms - 12.154ms]
readfile9            528473ops     8807ops/s 130.2mb/s    0.003ms/op [0.001ms - 3.582ms]
openfile9            528482ops     8807ops/s   0.0mb/s    0.378ms/op [0.017ms - 46.649ms]
closefile8           528485ops     8808ops/s   0.0mb/s    0.740ms/op [0.052ms - 12.006ms]
readfile8            528485ops     8808ops/s 130.1mb/s    0.003ms/op [0.001ms - 2.803ms]
openfile8            528491ops     8808ops/s   0.0mb/s    0.378ms/op [0.028ms - 52.460ms]
closefile7           528495ops     8808ops/s   0.0mb/s    0.739ms/op [0.049ms - 12.493ms]
readfile7            528495ops     8808ops/s 130.3mb/s    0.003ms/op [0.001ms - 2.723ms]
openfile7            528497ops     8808ops/s   0.0mb/s    0.380ms/op [0.029ms - 100.385ms]
closefile6           528503ops     8808ops/s   0.0mb/s    0.740ms/op [0.023ms - 11.860ms]
readfile6            528503ops     8808ops/s 130.9mb/s    0.003ms/op [0.001ms - 2.920ms]
openfile6            528511ops     8808ops/s   0.0mb/s    0.379ms/op [0.018ms - 52.403ms]
closefile5           528514ops     8808ops/s   0.0mb/s    0.740ms/op [0.023ms - 11.859ms]
readfile5            528514ops     8808ops/s 130.9mb/s    0.003ms/op [0.001ms - 2.734ms]
openfile5            528519ops     8808ops/s   0.0mb/s    0.379ms/op [0.019ms - 52.400ms]
closefile4           528521ops     8808ops/s   0.0mb/s    0.741ms/op [0.026ms - 12.011ms]
readfile4            528521ops     8808ops/s 130.7mb/s    0.003ms/op [0.001ms - 2.779ms]
openfile4            528530ops     8808ops/s   0.0mb/s    0.379ms/op [0.026ms - 56.844ms]
closefile3           528538ops     8808ops/s   0.0mb/s    0.742ms/op [0.037ms - 12.163ms]
readfile3            528538ops     8808ops/s 128.6mb/s    0.003ms/op [0.001ms - 2.890ms]
openfile3            528544ops     8809ops/s   0.0mb/s    0.381ms/op [0.019ms - 57.301ms]
closefile2           528550ops     8809ops/s   0.0mb/s    0.742ms/op [0.024ms - 11.860ms]
readfile2            528550ops     8809ops/s 129.5mb/s    0.003ms/op [0.001ms - 3.527ms]
openfile2            528555ops     8809ops/s   0.0mb/s    0.380ms/op [0.013ms - 105.239ms]
closefile1           528559ops     8809ops/s   0.0mb/s    0.743ms/op [0.023ms - 12.497ms]
readfile1            528559ops     8809ops/s 130.2mb/s    0.003ms/op [0.001ms - 3.297ms]
openfile1            528564ops     8809ops/s   0.0mb/s    0.378ms/op [0.022ms - 57.980ms]
61.450: IO Summary: 16383937 ops 273048.933 ops/s 88080/8809 rd/wr 1368.8mb/s 0.365ms/op
61.450: Shutting down processes
