Filebench Version 1.5-alpha3
0.000: Allocated 2457MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.002: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.002: Removing logfiles tree (if exists)
0.003: Pre-allocating directories in logfiles tree
0.006: Pre-allocating files in logfiles tree
0.009: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.009: Removing bigfileset tree (if exists)
0.010: Pre-allocating directories in bigfileset tree
0.028: Pre-allocating files in bigfileset tree
0.307: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.307: Population and pre-allocation of filesets completed
0.307: Starting 1 filereader instances
1.313: Running...
61.319: Run took 60 seconds...
61.359: Per-Operation Breakdown
appendlog            1451009ops    24182ops/s 189.0mb/s    0.020ms/op [0.001ms - 202.492ms]
closefile10          1450914ops    24180ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.103ms]
readfile10           1450914ops    24180ops/s 356.8mb/s    0.003ms/op [0.001ms - 0.387ms]
openfile10           1450915ops    24180ops/s   0.0mb/s    0.139ms/op [0.004ms - 30.687ms]
closefile9           1450920ops    24180ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.099ms]
readfile9            1450920ops    24180ops/s 356.9mb/s    0.003ms/op [0.001ms - 0.538ms]
openfile9            1450921ops    24180ops/s   0.0mb/s    0.139ms/op [0.005ms - 29.224ms]
closefile8           1450931ops    24181ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.100ms]
readfile8            1450931ops    24181ops/s 356.4mb/s    0.003ms/op [0.001ms - 0.447ms]
openfile8            1450931ops    24181ops/s   0.0mb/s    0.139ms/op [0.004ms - 29.728ms]
closefile7           1450944ops    24181ops/s   0.0mb/s    0.264ms/op [0.001ms - 10.008ms]
readfile7            1450944ops    24181ops/s 356.7mb/s    0.003ms/op [0.001ms - 0.536ms]
openfile7            1450945ops    24181ops/s   0.0mb/s    0.139ms/op [0.004ms - 28.261ms]
closefile6           1450953ops    24181ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.102ms]
readfile6            1450953ops    24181ops/s 357.9mb/s    0.003ms/op [0.001ms - 0.499ms]
openfile6            1450955ops    24181ops/s   0.0mb/s    0.139ms/op [0.004ms - 34.502ms]
closefile5           1450961ops    24181ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.100ms]
readfile5            1450961ops    24181ops/s 357.8mb/s    0.003ms/op [0.001ms - 0.562ms]
openfile5            1450964ops    24181ops/s   0.0mb/s    0.139ms/op [0.004ms - 34.562ms]
closefile4           1450977ops    24181ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.121ms]
readfile4            1450977ops    24181ops/s 357.2mb/s    0.003ms/op [0.001ms - 1.359ms]
openfile4            1450977ops    24181ops/s   0.0mb/s    0.139ms/op [0.004ms - 29.287ms]
closefile3           1450990ops    24182ops/s   0.0mb/s    0.264ms/op [0.002ms - 10.090ms]
readfile3            1450990ops    24182ops/s 355.9mb/s    0.003ms/op [0.001ms - 0.459ms]
openfile3            1450994ops    24182ops/s   0.0mb/s    0.139ms/op [0.004ms - 30.048ms]
closefile2           1450999ops    24182ops/s   0.0mb/s    0.264ms/op [0.001ms - 10.095ms]
readfile2            1450999ops    24182ops/s 356.5mb/s    0.003ms/op [0.001ms - 0.428ms]
openfile2            1451000ops    24182ops/s   0.0mb/s    0.139ms/op [0.004ms - 29.473ms]
closefile1           1451005ops    24182ops/s   0.0mb/s    0.264ms/op [0.002ms - 13.398ms]
readfile1            1451005ops    24182ops/s 356.9mb/s    0.003ms/op [0.001ms - 0.472ms]
openfile1            1451009ops    24182ops/s   0.0mb/s    0.139ms/op [0.004ms - 29.730ms]
61.359: IO Summary: 44979808 ops 749613.967 ops/s 241811/24182 rd/wr 3758.1mb/s 0.132ms/op
61.359: Shutting down processes
