Filebench Version 1.5-alpha3
0.000: Allocated 2457MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.002: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.002: Removing logfiles tree (if exists)
0.003: Pre-allocating directories in logfiles tree
0.006: Pre-allocating files in logfiles tree
0.009: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.009: Removing bigfileset tree (if exists)
0.010: Pre-allocating directories in bigfileset tree
0.034: Pre-allocating files in bigfileset tree
0.424: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.424: Population and pre-allocation of filesets completed
0.424: Starting 1 filereader instances
1.431: Running...
61.436: Run took 60 seconds...
61.476: Per-Operation Breakdown
appendlog            530208ops     8836ops/s  69.1mb/s    0.079ms/op [0.001ms - 404.281ms]
closefile10          530110ops     8835ops/s   0.0mb/s    0.740ms/op [0.013ms - 12.402ms]
readfile10           530110ops     8835ops/s 129.3mb/s    0.003ms/op [0.001ms - 2.599ms]
openfile10           530117ops     8835ops/s   0.0mb/s    0.378ms/op [0.009ms - 30.042ms]
closefile9           530123ops     8835ops/s   0.0mb/s    0.739ms/op [0.013ms - 12.896ms]
readfile9            530123ops     8835ops/s 129.3mb/s    0.003ms/op [0.001ms - 2.345ms]
openfile9            530126ops     8835ops/s   0.0mb/s    0.378ms/op [0.009ms - 52.419ms]
closefile8           530131ops     8835ops/s   0.0mb/s    0.739ms/op [0.012ms - 12.391ms]
readfile8            530131ops     8835ops/s 130.3mb/s    0.003ms/op [0.001ms - 1.765ms]
openfile8            530136ops     8835ops/s   0.0mb/s    0.378ms/op [0.009ms - 52.468ms]
closefile7           530141ops     8835ops/s   0.0mb/s    0.740ms/op [0.012ms - 12.370ms]
readfile7            530141ops     8835ops/s 131.3mb/s    0.003ms/op [0.001ms - 1.924ms]
openfile7            530143ops     8835ops/s   0.0mb/s    0.378ms/op [0.009ms - 53.292ms]
closefile6           530154ops     8835ops/s   0.0mb/s    0.740ms/op [0.011ms - 12.896ms]
readfile6            530154ops     8835ops/s 130.7mb/s    0.003ms/op [0.001ms - 2.583ms]
openfile6            530156ops     8835ops/s   0.0mb/s    0.378ms/op [0.008ms - 52.446ms]
closefile5           530164ops     8836ops/s   0.0mb/s    0.740ms/op [0.012ms - 12.902ms]
readfile5            530165ops     8836ops/s 130.4mb/s    0.003ms/op [0.001ms - 2.661ms]
openfile5            530169ops     8836ops/s   0.0mb/s    0.378ms/op [0.008ms - 52.056ms]
closefile4           530171ops     8836ops/s   0.0mb/s    0.739ms/op [0.011ms - 12.465ms]
readfile4            530171ops     8836ops/s 129.9mb/s    0.003ms/op [0.001ms - 2.432ms]
openfile4            530172ops     8836ops/s   0.0mb/s    0.377ms/op [0.009ms - 37.095ms]
closefile3           530179ops     8836ops/s   0.0mb/s    0.739ms/op [0.012ms - 11.922ms]
readfile3            530179ops     8836ops/s 131.4mb/s    0.003ms/op [0.001ms - 2.564ms]
openfile3            530180ops     8836ops/s   0.0mb/s    0.378ms/op [0.008ms - 53.264ms]
closefile2           530185ops     8836ops/s   0.0mb/s    0.739ms/op [0.012ms - 12.904ms]
readfile2            530185ops     8836ops/s 131.3mb/s    0.003ms/op [0.001ms - 2.633ms]
openfile2            530191ops     8836ops/s   0.0mb/s    0.379ms/op [0.009ms - 51.492ms]
closefile1           530201ops     8836ops/s   0.0mb/s    0.741ms/op [0.012ms - 12.915ms]
readfile1            530201ops     8836ops/s 130.2mb/s    0.003ms/op [0.001ms - 2.396ms]
openfile1            530208ops     8836ops/s   0.0mb/s    0.377ms/op [0.008ms - 52.274ms]
61.476: IO Summary: 16434925 ops 273898.558 ops/s 88354/8836 rd/wr 1373.1mb/s 0.364ms/op
61.476: Shutting down processes
