Filebench Version 1.5-alpha3
0.000: Allocated 2457MB of shared memory
0.001: Web-server Version 3.1 personality successfully loaded
0.001: Populating and pre-allocating filesets
0.002: logfiles populated: 1 files, avg. dir. width = 20, avg. dir. depth = 0.0, 0 leafdirs, 0.002MB total size
0.002: Removing logfiles tree (if exists)
0.004: Pre-allocating directories in logfiles tree
0.005: Pre-allocating files in logfiles tree
0.006: bigfileset populated: 1000 files, avg. dir. width = 20, avg. dir. depth = 2.3, 0 leafdirs, 14.760MB total size
0.006: Removing bigfileset tree (if exists)
0.007: Pre-allocating directories in bigfileset tree
0.010: Pre-allocating files in bigfileset tree
0.151: Waiting for pre-allocation to finish (in case of a parallel pre-allocation)
0.151: Population and pre-allocation of filesets completed
0.151: Starting 1 filereader instances
1.158: Running...
61.163: Run took 60 seconds...
61.203: Per-Operation Breakdown
appendlog            672231ops    11203ops/s  87.4mb/s    7.212ms/op [0.001ms - 239.536ms]
closefile10          672133ops    11202ops/s   0.0mb/s    0.081ms/op [0.008ms - 4.655ms]
readfile10           672133ops    11202ops/s 165.2mb/s    0.003ms/op [0.001ms - 0.990ms]
openfile10           672134ops    11202ops/s   0.0mb/s    0.085ms/op [0.012ms - 33.096ms]
closefile9           672135ops    11202ops/s   0.0mb/s    0.081ms/op [0.010ms - 4.659ms]
readfile9            672135ops    11202ops/s 165.8mb/s    0.003ms/op [0.001ms - 0.636ms]
openfile9            672136ops    11202ops/s   0.0mb/s    0.085ms/op [0.019ms - 41.366ms]
closefile8           672137ops    11202ops/s   0.0mb/s    0.081ms/op [0.008ms - 4.686ms]
readfile8            672137ops    11202ops/s 170.7mb/s    0.003ms/op [0.001ms - 0.117ms]
openfile8            672138ops    11202ops/s   0.0mb/s    0.085ms/op [0.016ms - 32.701ms]
closefile7           672139ops    11202ops/s   0.0mb/s    0.081ms/op [0.008ms - 4.687ms]
readfile7            672139ops    11202ops/s 166.9mb/s    0.003ms/op [0.001ms - 0.141ms]
openfile7            672140ops    11202ops/s   0.0mb/s    0.085ms/op [0.020ms - 47.659ms]
closefile6           672140ops    11202ops/s   0.0mb/s    0.081ms/op [0.016ms - 4.686ms]
readfile6            672141ops    11202ops/s 162.9mb/s    0.003ms/op [0.001ms - 0.109ms]
openfile6            672142ops    11202ops/s   0.0mb/s    0.085ms/op [0.015ms - 43.325ms]
closefile5           672142ops    11202ops/s   0.0mb/s    0.080ms/op [0.010ms - 4.733ms]
readfile5            672142ops    11202ops/s 164.6mb/s    0.003ms/op [0.001ms - 0.113ms]
openfile5            672143ops    11202ops/s   0.0mb/s    0.085ms/op [0.020ms - 32.516ms]
closefile4           672144ops    11202ops/s   0.0mb/s    0.080ms/op [0.011ms - 4.686ms]
readfile4            672144ops    11202ops/s 165.7mb/s    0.003ms/op [0.001ms - 0.155ms]
openfile4            672145ops    11202ops/s   0.0mb/s    0.085ms/op [0.015ms - 31.202ms]
closefile3           672146ops    11202ops/s   0.0mb/s    0.080ms/op [0.012ms - 4.448ms]
readfile3            672146ops    11202ops/s 166.2mb/s    0.003ms/op [0.001ms - 0.140ms]
openfile3            672147ops    11202ops/s   0.0mb/s    0.085ms/op [0.018ms - 35.884ms]
closefile2           672148ops    11202ops/s   0.0mb/s    0.080ms/op [0.005ms - 4.657ms]
readfile2            672148ops    11202ops/s 163.0mb/s    0.003ms/op [0.001ms - 3.146ms]
openfile2            672149ops    11202ops/s   0.0mb/s    0.085ms/op [0.015ms - 41.343ms]
closefile1           672150ops    11202ops/s   0.0mb/s    0.080ms/op [0.009ms - 4.654ms]
readfile1            672150ops    11202ops/s 162.4mb/s    0.003ms/op [0.001ms - 0.177ms]
openfile1            672151ops    11202ops/s   0.0mb/s    0.085ms/op [0.016ms - 53.084ms]
61.203: IO Summary: 20836485 ops 347253.666 ops/s 112017/11203 rd/wr 1740.8mb/s 0.287ms/op
61.203: Shutting down processes
